year,Karachi_Avg_Temp
1796,25.89
1797,27.03
1798,25.59
1799,26.14
1800,26.05
1801,25.52
1802,26.45
1803,26.20
1804,26.49
1805,26.14
1806,26.06
1807,25.85
1808,
1809,
1810,
1811,
1812,
1813,25.40
1814,24.86
1815,24.92
1816,24.46
1817,24.69
1818,25.43
1819,24.85
1820,25.01
1821,25.62
1822,25.69
1823,25.40
1824,26.12
1825,
1826,25.95
1827,26.23
1828,25.73
1829,25.54
1830,25.94
1831,25.24
1832,25.42
1833,25.66
1834,25.72
1835,24.85
1836,25.30
1837,25.17
1838,25.17
1839,25.32
1840,25.44
1841,25.75
1842,25.64
1843,25.58
1844,25.24
1845,25.42
1846,
1847,
1848,25.37
1849,25.42
1850,25.44
1851,25.61
1852,25.62
1853,25.63
1854,25.77
1855,25.93
1856,24.94
1857,25.15
1858,
1859,
1860,
1861,
1862,
1863,
1864,
1865,
1866,
1867,
1868,
1869,
1870,
1871,24.10
1872,27.16
1873,26.55
1874,23.06
1875,26.00
1876,25.75
1877,25.96
1878,25.87
1879,25.33
1880,25.95
1881,25.93
1882,25.52
1883,25.35
1884,25.61
1885,25.61
1886,25.89
1887,25.74
1888,25.74
1889,26.02
1890,25.73
1891,25.80
1892,26.32
1893,25.30
1894,25.48
1895,25.94
1896,26.45
1897,26.09
1898,26.24
1899,26.35
1900,26.51
1901,26.18
1902,26.75
1903,25.74
1904,26.10
1905,25.55
1906,25.84
1907,25.84
1908,25.70
1909,25.62
1910,25.52
1911,25.50
1912,26.29
1913,25.85
1914,26.11
1915,26.24
1916,25.86
1917,25.59
1918,25.52
1919,25.69
1920,26.07
1921,26.20
1922,26.03
1923,25.48
1924,26.06
1925,25.95
1926,26.12
1927,25.63
1928,26.01
1929,25.91
1930,25.83
1931,26.29
1932,26.11
1933,25.90
1934,25.88
1935,25.69
1936,26.01
1937,25.82
1938,25.79
1939,25.75
1940,26.22
1941,26.76
1942,26.30
1943,26.17
1944,26.03
1945,25.72
1946,26.13
1947,26.38
1948,26.30
1949,26.16
1950,25.48
1951,26.29
1952,26.26
1953,26.78
1954,26.37
1955,26.19
1956,25.75
1957,25.84
1958,26.84
1959,26.33
1960,26.20
1961,25.90
1962,26.11
1963,26.63
1964,25.86
1965,26.17
1966,26.14
1967,25.94
1968,25.91
1969,26.43
1970,26.44
1971,26.21
1972,25.93
1973,26.12
1974,26.20
1975,25.87
1976,26.09
1977,26.84
1978,26.21
1979,26.28
1980,26.68
1981,26.57
1982,26.29
1983,26.10
1984,25.91
1985,26.34
1986,26.10
1987,26.88
1988,27.21
1989,26.25
1990,26.39
1991,26.34
1992,26.36
1993,27.25
1994,26.36
1995,26.63
1996,26.50
1997,26.29
1998,27.36
1999,27.14
2000,27.12
2001,27.28
2002,27.20
2003,26.97
2004,27.50
2005,26.80
2006,26.73
2007,27.21
2008,26.74
2009,27.41
2010,27.45
2011,27.02
2012,26.75
2013,27.21
