year,LA_Avg_Temp,Global_Avg_Temp
1849,15.71,7.98
1850,15.28,7.90
1851,15.53,8.18
1852,15.61,8.10
1853,16.27,8.04
1854,15.74,8.21
1855,10.20,8.11
1855,15.94,8.11
1856,15.52,8.00
1856,12.01,8.00
1857,12.06,7.76
1857,16.19,7.76
1858,15.67,8.10
1858,12.13,8.10
1859,12.39,8.25
1859,15.29,8.25
1860,12.07,7.96
1860,15.41,7.96
1861,11.89,7.85
1861,16.51,7.85
1862,11.65,7.56
1862,16.05,7.56
1863,11.49,8.11
1863,15.88,8.11
1864,12.00,7.98
1864,16.62,7.98
1865,12.43,8.18
1865,15.89,8.18
1866,12.31,8.29
1866,16.33,8.29
1867,12.17,8.44
1867,16.51,8.44
1868,12.15,8.25
1868,16.09,8.25
1869,12.01,8.43
1869,16.05,8.43
1870,11.87,8.20
1870,15.64,8.20
1871,11.68,8.12
1871,15.89,8.12
1872,11.69,8.19
1872,15.66,8.19
1873,12.27,8.35
1873,15.70,8.35
1874,12.06,8.43
1874,15.33,8.43
1875,11.92,7.86
1875,16.19,7.86
1876,12.39,8.08
1876,15.70,8.08
1877,16.24,8.54
1877,12.91,8.54
1878,15.44,8.83
1878,12.50,8.83
1879,12.71,8.17
1879,15.55,8.17
1880,12.56,8.12
1880,14.36,8.12
1881,15.65,8.27
1881,12.12,8.27
1882,12.35,8.13
1882,14.85,8.13
1883,11.99,7.98
1883,15.52,7.98
1884,11.93,7.77
1884,15.28,7.77
1885,16.44,7.92
1885,11.62,7.92
1886,12.05,7.95
1886,15.74,7.95
1887,12.02,7.91
1887,15.62,7.91
1888,15.91,8.09
1888,12.34,8.09
1889,16.22,8.32
1889,11.54,8.32
1890,15.80,7.97
1890,12.12,7.97
1891,12.40,8.02
1891,15.63,8.02
1892,12.00,8.07
1892,15.33,8.07
1893,12.09,8.06
1893,14.95,8.06
1894,12.31,8.16
1894,14.83,8.16
1895,12.35,8.15
1895,15.36,8.15
1896,16.10,8.21
1896,12.97,8.21
1897,15.32,8.29
1897,12.44,8.29
1898,15.65,8.18
1898,11.76,8.18
1899,15.59,8.40
1899,12.91,8.40
1900,16.08,8.50
1900,12.68,8.50
1901,12.61,8.54
1901,15.72,8.54
1902,15.08,8.30
1902,12.37,8.30
1903,12.13,8.22
1903,15.49,8.22
1904,16.24,8.09
1904,12.94,8.09
1905,15.52,8.23
1905,12.66,8.23
1906,15.74,8.38
1906,12.53,8.38
1907,12.02,7.95
1907,15.46,7.95
1908,12.55,8.19
1908,15.17,8.19
1909,15.01,8.18
1909,12.20,8.18
1910,11.78,8.22
1910,15.94,8.22
1911,12.33,8.18
1911,14.82,8.18
1912,12.52,8.17
1912,14.84,8.17
1913,12.87,8.30
1913,15.20,8.30
1914,15.65,8.59
1914,12.40,8.59
1915,15.43,8.59
1915,12.31,8.59
1916,11.91,8.23
1916,14.60,8.23
1917,15.59,8.02
1917,12.67,8.02
1918,15.65,8.13
1918,12.19,8.13
1919,15.34,8.38
1919,12.76,8.38
1920,12.47,8.36
1920,15.06,8.36
1921,12.10,8.57
1921,15.76,8.57
1922,15.31,8.41
1922,12.41,8.41
1923,11.99,8.42
1923,15.39,8.42
1924,15.69,8.51
1924,12.46,8.51
1925,12.31,8.53
1925,15.72,8.53
1926,16.60,8.73
1926,12.77,8.73
1927,12.53,8.52
1927,15.41,8.52
1928,12.31,8.63
1928,15.98,8.63
1929,12.38,8.24
1929,16.10,8.24
1930,13.29,8.63
1930,15.99,8.63
1931,16.60,8.72
1931,12.71,8.72
1932,12.83,8.71
1932,15.40,8.71
1933,12.34,8.34
1933,15.40,8.34
1934,17.03,8.63
1934,12.44,8.63
1935,15.50,8.52
1935,12.89,8.52
1936,12.53,8.55
1936,16.60,8.55
1937,12.53,8.70
1937,15.68,8.70
1938,12.09,8.86
1938,15.89,8.86
1939,16.30,8.76
1939,12.93,8.76
1940,13.08,8.76
1940,16.53,8.76
1941,12.65,8.77
1941,15.62,8.77
1942,12.73,8.73
1942,15.77,8.73
1943,16.12,8.76
1943,13.14,8.76
1944,15.03,8.85
1944,13.15,8.85
1945,15.70,8.58
1945,13.24,8.58
1946,15.65,8.68
1946,12.70,8.68
1947,15.98,8.80
1947,12.75,8.80
1948,12.58,8.75
1948,15.09,8.75
1949,12.75,8.59
1949,15.36,8.59
1950,16.20,8.37
1950,12.62,8.37
1951,13.10,8.63
1951,15.76,8.63
1952,15.33,8.64
1952,13.21,8.64
1953,12.81,8.87
1953,15.68,8.87
1954,16.05,8.56
1954,12.61,8.56
1955,15.34,8.63
1955,12.32,8.63
1956,12.49,8.28
1956,15.70,8.28
1957,12.85,8.73
1957,15.80,8.73
1958,16.70,8.77
1958,12.90,8.77
1959,17.05,8.73
1959,12.59,8.73
1960,16.31,8.58
1960,13.15,8.58
1961,16.21,8.80
1961,12.73,8.80
1962,13.10,8.75
1962,15.62,8.75
1963,12.81,8.86
1963,15.73,8.86
1964,12.72,8.41
1964,15.28,8.41
1965,15.34,8.53
1965,13.00,8.53
